id,dteday,Season,Hour,Holiday,Days,Workdays,Weather,Temp,TempFeeled,Humidity,Windspeed,Casual,Registered,Total User,Suhu
27,2011-01-02,Springer,2,No,Sun,No,Not Good,17.22,21.21,100.0,19.0012,1,8,9,Panas
28,2011-01-02,Springer,3,No,Sun,No,Not Good,18.86,22.725,94.0,12.998000000000001,2,4,6,Panas
29,2011-01-02,Springer,4,No,Sun,No,Not Good,18.86,22.725,94.0,12.998000000000001,2,1,3,Panas
30,2011-01-02,Springer,6,No,Sun,No,Nearly Bad,17.22,21.21,77.0,19.999499999999998,0,2,2,Panas
31,2011-01-02,Springer,7,No,Sun,No,Not Good,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Panas
32,2011-01-02,Springer,8,No,Sun,No,Nearly Bad,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Panas
33,2011-01-02,Springer,9,No,Sun,No,Not Good,15.58,19.695,76.0,15.001299999999999,1,19,20,Panas
34,2011-01-02,Springer,10,No,Sun,No,Not Good,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Panas
35,2011-01-02,Springer,11,No,Sun,No,Not Good,14.76,16.665,71.0,16.997899999999998,16,54,70,Dingin
36,2011-01-02,Springer,12,No,Sun,No,Not Good,14.76,16.665,66.0,19.999499999999998,20,73,93,Dingin
37,2011-01-02,Springer,13,No,Sun,No,Not Good,14.76,17.424999999999997,66.0,8.9981,11,64,75,Panas
38,2011-01-02,Springer,14,No,Sun,No,Nearly Bad,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Panas
39,2011-01-02,Springer,15,No,Sun,No,Nearly Bad,13.940000000000001,16.665,81.0,11.0014,19,55,74,Dingin
40,2011-01-02,Springer,16,No,Sun,No,Nearly Bad,13.940000000000001,16.665,71.0,11.0014,9,67,76,Dingin
41,2011-01-02,Springer,17,No,Sun,No,Good,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Dingin
42,2011-01-02,Springer,18,No,Sun,No,Not Good,14.76,16.665,46.0,22.0028,10,43,53,Dingin
43,2011-01-02,Springer,19,No,Sun,No,Good,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Dingin
44,2011-01-02,Springer,20,No,Sun,No,Good,12.299999999999999,13.635,39.0,23.9994,5,17,22,Dingin
45,2011-01-02,Springer,21,No,Sun,No,Good,10.66,11.365,44.0,22.0028,11,20,31,Dingin
46,2011-01-02,Springer,22,No,Sun,No,Good,9.84,10.605,44.0,19.999499999999998,0,9,9,Dingin
47,2011-01-02,Springer,23,No,Sun,No,Good,9.02,11.365,47.0,11.0014,0,8,8,Dingin
48,2011-01-03,Springer,0,No,Mon,Yes,Good,9.02,9.85,44.0,23.9994,0,5,5,Dingin
49,2011-01-03,Springer,1,No,Mon,Yes,Good,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Dingin
50,2011-01-03,Springer,4,No,Mon,Yes,Good,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Dingin
51,2011-01-03,Springer,5,No,Mon,Yes,Good,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Dingin
52,2011-01-03,Springer,6,No,Mon,Yes,Good,5.74,5.305,50.0,26.0027,0,30,30,Dingin
53,2011-01-03,Springer,7,No,Mon,Yes,Good,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Dingin
54,2011-01-03,Springer,8,No,Mon,Yes,Good,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Dingin
55,2011-01-03,Springer,9,No,Mon,Yes,Good,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Dingin
56,2011-01-03,Springer,10,No,Mon,Yes,Good,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Dingin
57,2011-01-03,Springer,11,No,Mon,Yes,Good,8.200000000000001,9.09,40.0,22.0028,10,41,51,Dingin
58,2011-01-03,Springer,12,No,Mon,Yes,Good,9.02,10.605,35.0,19.999499999999998,13,48,61,Dingin
59,2011-01-03,Springer,13,No,Mon,Yes,Good,9.84,10.605,35.0,19.0012,8,53,61,Dingin
60,2011-01-03,Springer,14,No,Mon,Yes,Good,10.66,12.120000000000001,30.0,19.0012,11,66,77,Dingin
61,2011-01-03,Springer,15,No,Mon,Yes,Good,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Dingin
62,2011-01-03,Springer,16,No,Mon,Yes,Good,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Dingin
63,2011-01-03,Springer,17,No,Mon,Yes,Good,9.84,11.365,30.0,15.001299999999999,11,146,157,Dingin
64,2011-01-03,Springer,18,No,Mon,Yes,Good,9.84,12.879999999999999,32.0,7.0015,9,148,157,Dingin
65,2011-01-03,Springer,19,No,Mon,Yes,Good,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Dingin
66,2011-01-03,Springer,20,No,Mon,Yes,Good,8.200000000000001,11.365,47.0,7.0015,3,49,52,Dingin
67,2011-01-03,Springer,21,No,Mon,Yes,Good,7.38,9.85,64.0,8.9981,3,49,52,Dingin
68,2011-01-03,Springer,22,No,Mon,Yes,Good,5.74,7.575,69.0,8.9981,0,20,20,Dingin
69,2011-01-03,Springer,23,No,Mon,Yes,Good,7.38,10.605,55.00000000000001,7.0015,1,11,12,Dingin
70,2011-01-04,Springer,0,No,Tue,Yes,Good,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Dingin
71,2011-01-04,Springer,1,No,Tue,Yes,Good,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Dingin
72,2011-01-04,Springer,2,No,Tue,Yes,Good,5.74,7.575,63.0,8.9981,0,1,1,Dingin
73,2011-01-04,Springer,4,No,Tue,Yes,Good,5.74,9.09,63.0,6.0032,0,2,2,Dingin
74,2011-01-04,Springer,5,No,Tue,Yes,Good,4.92,7.575,68.0,7.0015,0,4,4,Dingin
75,2011-01-04,Springer,6,No,Tue,Yes,Good,4.92,7.575,74.0,7.0015,0,36,36,Dingin
76,2011-01-04,Springer,7,No,Tue,Yes,Good,4.92,7.575,74.0,8.9981,2,92,94,Dingin
77,2011-01-04,Springer,8,No,Tue,Yes,Good,5.74,7.575,69.0,11.0014,2,177,179,Dingin
78,2011-01-04,Springer,9,No,Tue,Yes,Good,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Dingin
79,2011-01-04,Springer,10,No,Tue,Yes,Not Good,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Dingin
80,2011-01-04,Springer,11,No,Tue,Yes,Good,9.02,10.605,51.0,19.999499999999998,7,50,57,Dingin
81,2011-01-04,Springer,12,No,Tue,Yes,Good,9.02,11.365,51.0,11.0014,12,66,78,Dingin
82,2011-01-04,Springer,13,No,Tue,Yes,Good,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Dingin
83,2011-01-04,Springer,14,No,Tue,Yes,Good,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Dingin
84,2011-01-04,Springer,15,No,Tue,Yes,Good,11.48,13.635,52.0,16.997899999999998,17,48,65,Dingin
85,2011-01-04,Springer,16,No,Tue,Yes,Good,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Dingin
86,2011-01-04,Springer,17,No,Tue,Yes,Good,11.48,13.635,48.0,15.001299999999999,10,202,212,Dingin
87,2011-01-04,Springer,18,No,Tue,Yes,Good,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Dingin
88,2011-01-04,Springer,19,No,Tue,Yes,Good,9.84,12.879999999999999,48.0,7.0015,2,110,112,Dingin
89,2011-01-04,Springer,20,No,Tue,Yes,Good,9.84,12.879999999999999,48.0,7.0015,1,53,54,Dingin
90,2011-01-04,Springer,21,No,Tue,Yes,Good,9.02,13.635,64.0,0.0,0,48,48,Dingin
91,2011-01-04,Springer,22,No,Tue,Yes,Good,9.02,12.879999999999999,64.0,6.0032,1,34,35,Dingin
92,2011-01-04,Springer,23,No,Tue,Yes,Good,8.200000000000001,11.365,69.0,6.0032,2,9,11,Dingin
93,2011-01-05,Springer,0,No,Wed,Yes,Good,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Dingin
94,2011-01-05,Springer,1,No,Wed,Yes,Good,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Dingin
95,2011-01-05,Springer,2,No,Wed,Yes,Good,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Dingin
96,2011-01-05,Springer,4,No,Wed,Yes,Good,9.84,11.365,48.0,15.001299999999999,0,2,2,Dingin
97,2011-01-05,Springer,5,No,Wed,Yes,Good,9.02,11.365,47.0,11.0014,0,3,3,Dingin
98,2011-01-05,Springer,6,No,Wed,Yes,Good,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Dingin
99,2011-01-05,Springer,7,No,Wed,Yes,Good,7.38,9.09,43.0,12.998000000000001,1,87,88,Dingin
100,2011-01-05,Springer,8,No,Wed,Yes,Good,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Dingin
101,2011-01-05,Springer,9,No,Wed,Yes,Good,9.02,9.85,37.0,22.0028,6,109,115,Dingin
102,2011-01-05,Springer,10,No,Wed,Yes,Good,9.02,9.85,37.0,22.0028,4,53,57,Dingin
103,2011-01-05,Springer,11,No,Wed,Yes,Good,10.66,11.365,33.0,22.0028,12,34,46,Dingin
104,2011-01-05,Springer,12,No,Wed,Yes,Good,10.66,11.365,33.0,22.0028,5,74,79,Dingin
105,2011-01-05,Springer,13,No,Wed,Yes,Good,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Dingin
106,2011-01-05,Springer,14,No,Wed,Yes,Good,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Dingin
107,2011-01-05,Springer,15,No,Wed,Yes,Good,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Dingin
108,2011-01-05,Springer,16,No,Wed,Yes,Good,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Dingin
109,2011-01-05,Springer,17,No,Wed,Yes,Good,9.84,11.365,38.0,12.998000000000001,4,186,190,Dingin
110,2011-01-05,Springer,18,No,Wed,Yes,Good,9.84,12.120000000000001,38.0,8.9981,3,166,169,Dingin
111,2011-01-05,Springer,19,No,Wed,Yes,Good,9.84,12.879999999999999,38.0,7.0015,5,127,132,Dingin
112,2011-01-05,Springer,20,No,Wed,Yes,Good,9.02,11.365,47.0,11.0014,7,82,89,Dingin
113,2011-01-05,Springer,21,No,Wed,Yes,Good,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Dingin
114,2011-01-05,Springer,22,No,Wed,Yes,Good,7.38,9.85,55.00000000000001,8.9981,1,41,42,Dingin
115,2011-01-05,Springer,23,No,Wed,Yes,Good,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Dingin
116,2011-01-06,Springer,0,No,Thu,Yes,Good,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Dingin
117,2011-01-06,Springer,1,No,Thu,Yes,Good,6.5600000000000005,11.365,64.0,0.0,0,4,4,Dingin
118,2011-01-06,Springer,2,No,Thu,Yes,Good,6.5600000000000005,11.365,64.0,0.0,0,2,2,Dingin
119,2011-01-06,Springer,4,No,Thu,Yes,Not Good,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Dingin
120,2011-01-06,Springer,5,No,Thu,Yes,Not Good,5.74,9.09,69.0,6.0032,0,4,4,Dingin
121,2011-01-06,Springer,6,No,Thu,Yes,Not Good,5.74,8.334999999999999,63.0,7.0015,0,36,36,Dingin
122,2011-01-06,Springer,7,No,Thu,Yes,Not Good,6.5600000000000005,11.365,59.0,0.0,0,95,95,Dingin
123,2011-01-06,Springer,8,No,Thu,Yes,Good,6.5600000000000005,11.365,59.0,0.0,3,216,219,Dingin
124,2011-01-06,Springer,9,No,Thu,Yes,Not Good,7.38,12.120000000000001,51.0,0.0,6,116,122,Dingin
125,2011-01-06,Springer,10,No,Thu,Yes,Good,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Dingin
126,2011-01-06,Springer,11,No,Thu,Yes,Good,9.02,12.879999999999999,44.0,6.0032,2,57,59,Dingin
127,2011-01-06,Springer,12,No,Thu,Yes,Good,10.66,14.395,35.0,0.0,6,78,84,Dingin
128,2011-01-06,Springer,13,No,Thu,Yes,Good,10.66,13.635,35.0,7.0015,12,55,67,Dingin
129,2011-01-06,Springer,14,No,Thu,Yes,Good,11.48,13.635,36.0,11.0014,11,59,70,Dingin
130,2011-01-06,Springer,15,No,Thu,Yes,Good,11.48,13.635,36.0,0.0,8,54,62,Dingin
131,2011-01-06,Springer,16,No,Thu,Yes,Good,10.66,12.879999999999999,38.0,11.0014,12,74,86,Dingin
132,2011-01-06,Springer,17,No,Thu,Yes,Good,9.02,11.365,51.0,11.0014,9,163,172,Dingin
133,2011-01-06,Springer,18,No,Thu,Yes,Good,9.02,11.365,51.0,8.9981,5,158,163,Dingin
134,2011-01-06,Springer,19,No,Thu,Yes,Good,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Dingin
135,2011-01-06,Springer,20,No,Thu,Yes,Good,8.200000000000001,10.605,51.0,11.0014,3,66,69,Dingin
136,2011-01-06,Springer,21,No,Thu,Yes,Not Good,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Dingin
137,2011-01-06,Springer,22,No,Thu,Yes,Not Good,9.02,10.605,51.0,19.0012,1,51,52,Dingin
138,2011-01-06,Springer,23,No,Thu,Yes,Not Good,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Dingin
139,2011-01-07,Springer,0,No,Fri,Yes,Not Good,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Dingin
140,2011-01-07,Springer,1,No,Fri,Yes,Not Good,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Dingin
141,2011-01-07,Springer,2,No,Fri,Yes,Not Good,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Dingin
142,2011-01-07,Springer,4,No,Fri,Yes,Not Good,8.200000000000001,10.605,69.0,8.9981,0,1,1,Dingin
143,2011-01-07,Springer,5,No,Fri,Yes,Nearly Bad,9.02,13.635,55.00000000000001,0.0,0,5,5,Dingin
144,2011-01-07,Springer,6,No,Fri,Yes,Not Good,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Dingin
145,2011-01-07,Springer,7,No,Fri,Yes,Good,8.200000000000001,10.605,69.0,8.9981,8,76,84,Dingin
146,2011-01-07,Springer,8,No,Fri,Yes,Good,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Dingin
147,2011-01-07,Springer,9,No,Fri,Yes,Good,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Dingin
148,2011-01-07,Springer,10,No,Fri,Yes,Good,9.02,9.85,37.0,22.0028,16,47,63,Dingin
149,2011-01-07,Springer,11,No,Fri,Yes,Not Good,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Dingin
150,2011-01-07,Springer,12,No,Fri,Yes,Not Good,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Dingin
151,2011-01-07,Springer,13,No,Fri,Yes,Not Good,8.200000000000001,9.09,37.0,19.0012,9,64,73,Dingin
152,2011-01-07,Springer,14,No,Fri,Yes,Not Good,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Dingin
153,2011-01-07,Springer,15,No,Fri,Yes,Not Good,8.200000000000001,10.605,37.0,11.0014,9,63,72,Dingin
154,2011-01-07,Springer,16,No,Fri,Yes,Not Good,8.200000000000001,10.605,37.0,11.0014,5,82,87,Dingin
155,2011-01-07,Springer,17,No,Fri,Yes,Not Good,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Dingin
156,2011-01-07,Springer,18,No,Fri,Yes,Good,8.200000000000001,11.365,40.0,6.0032,7,116,123,Dingin
157,2011-01-07,Springer,19,No,Fri,Yes,Good,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Dingin
158,2011-01-07,Springer,20,No,Fri,Yes,Good,7.38,10.605,47.0,7.0015,1,50,51,Dingin
159,2011-01-07,Springer,21,No,Fri,Yes,Good,7.38,9.85,47.0,8.9981,0,39,39,Dingin
160,2011-01-07,Springer,22,No,Fri,Yes,Not Good,7.38,9.85,43.0,11.0014,2,34,36,Dingin
161,2011-01-07,Springer,23,No,Fri,Yes,Not Good,7.38,9.85,51.0,11.0014,1,14,15,Dingin
162,2011-01-08,Springer,0,No,Sat,No,Not Good,7.38,9.85,51.0,11.0014,1,24,25,Dingin
163,2011-01-08,Springer,1,No,Sat,No,Not Good,7.38,10.605,55.00000000000001,6.0032,1,15,16,Dingin
164,2011-01-08,Springer,2,No,Sat,No,Not Good,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Dingin
165,2011-01-08,Springer,3,No,Sat,No,Nearly Bad,7.38,9.85,55.00000000000001,11.0014,0,7,7,Dingin
166,2011-01-08,Springer,4,No,Sat,No,Nearly Bad,7.38,9.85,55.00000000000001,11.0014,0,1,1,Dingin
167,2011-01-08,Springer,5,No,Sat,No,Not Good,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Dingin
168,2011-01-08,Springer,6,No,Sat,No,Not Good,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Dingin
169,2011-01-08,Springer,7,No,Sat,No,Not Good,6.5600000000000005,9.09,74.0,7.0015,1,8,9,Dingin
170,2011-01-08,Springer,8,No,Sat,No,Nearly Bad,6.5600000000000005,9.09,93.0,7.0015,0,15,15,Dingin
171,2011-01-08,Springer,9,No,Sat,No,Nearly Bad,6.5600000000000005,9.09,93.0,7.0015,0,20,20,Dingin
172,2011-01-08,Springer,10,No,Sat,No,Not Good,7.38,9.85,80.0,11.0014,5,56,61,Dingin
173,2011-01-08,Springer,11,No,Sat,No,Not Good,8.200000000000001,9.09,69.0,26.0027,2,60,62,Dingin
174,2011-01-08,Springer,12,No,Sat,No,Not Good,8.200000000000001,9.09,59.0,23.9994,8,90,98,Dingin
175,2011-01-08,Springer,13,No,Sat,No,Good,8.200000000000001,9.09,44.0,22.0028,7,95,102,Dingin
176,2011-01-08,Springer,14,No,Sat,No,Good,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,Dingin
177,2011-01-08,Springer,15,No,Sat,No,Good,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,Dingin
178,2011-01-08,Springer,16,No,Sat,No,Good,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,Dingin
179,2011-01-08,Springer,17,No,Sat,No,Good,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,Dingin
180,2011-01-08,Springer,18,No,Sat,No,Good,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,Dingin
181,2011-01-08,Springer,19,No,Sat,No,Good,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,Dingin
182,2011-01-08,Springer,20,No,Sat,No,Good,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,Dingin
183,2011-01-08,Springer,21,No,Sat,No,Good,4.92,5.305,39.0,23.9994,2,35,37,Dingin
184,2011-01-08,Springer,22,No,Sat,No,Good,4.92,5.305,36.0,26.0027,1,33,34,Dingin
185,2011-01-08,Springer,23,No,Sat,No,Good,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,Dingin
186,2011-01-09,Springer,0,No,Sun,No,Good,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,Dingin
187,2011-01-09,Springer,1,No,Sun,No,Good,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,Dingin
188,2011-01-09,Springer,2,No,Sun,No,Good,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,Dingin
189,2011-01-09,Springer,3,No,Sun,No,Good,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,Dingin
190,2011-01-09,Springer,4,No,Sun,No,Good,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Dingin
191,2011-01-09,Springer,5,No,Sun,No,Good,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Dingin
192,2011-01-09,Springer,6,No,Sun,No,Good,4.1000000000000005,4.545,49.0,19.0012,0,1,1,Dingin
193,2011-01-09,Springer,7,No,Sun,No,Good,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,Dingin
194,2011-01-09,Springer,8,No,Sun,No,Good,4.1000000000000005,4.545,49.0,19.0012,0,10,10,Dingin
195,2011-01-09,Springer,9,No,Sun,No,Good,4.92,3.7900000000000005,46.0,35.0008,0,19,19,Dingin
196,2011-01-09,Springer,10,No,Sun,No,Good,5.74,5.305,43.0,26.0027,0,49,49,Dingin
197,2011-01-09,Springer,11,No,Sun,No,Good,6.5600000000000005,6.0600000000000005,40.0,35.0008,2,47,49,Dingin
198,2011-01-09,Springer,12,No,Sun,No,Good,7.38,6.819999999999999,37.0,30.002599999999997,4,79,83,Dingin
199,2011-01-09,Springer,13,No,Sun,No,Good,8.200000000000001,8.334999999999999,34.0,30.002599999999997,6,69,75,Dingin
200,2011-01-09,Springer,14,No,Sun,No,Good,9.02,9.09,32.0,31.0009,8,64,72,Dingin
201,2011-01-09,Springer,15,No,Sun,No,Good,9.02,9.85,35.0,23.9994,5,77,82,Dingin
202,2011-01-09,Springer,16,No,Sun,No,Good,8.200000000000001,8.334999999999999,34.0,30.002599999999997,13,79,92,Dingin
203,2011-01-09,Springer,17,No,Sun,No,Good,7.38,7.575,37.0,26.0027,3,59,62,Dingin
204,2011-01-09,Springer,18,No,Sun,No,Good,6.5600000000000005,6.819999999999999,40.0,22.0028,4,44,48,Dingin
205,2011-01-09,Springer,19,No,Sun,No,Good,6.5600000000000005,6.819999999999999,43.0,22.0028,1,40,41,Dingin
206,2011-01-09,Springer,20,No,Sun,No,Good,5.74,6.0600000000000005,46.0,16.997899999999998,0,38,38,Dingin
207,2011-01-09,Springer,21,No,Sun,No,Good,5.74,5.305,46.0,27.999299999999998,1,19,20,Dingin
208,2011-01-09,Springer,22,No,Sun,No,Good,5.74,6.0600000000000005,46.0,19.999499999999998,5,10,15,Dingin
209,2011-01-09,Springer,23,No,Sun,No,Good,4.92,6.819999999999999,50.0,12.998000000000001,0,6,6,Dingin
210,2011-01-10,Springer,0,No,Mon,Yes,Good,4.92,6.0600000000000005,50.0,19.0012,2,3,5,Dingin
211,2011-01-10,Springer,1,No,Mon,Yes,Good,4.92,6.0600000000000005,50.0,19.0012,1,0,1,Dingin
212,2011-01-10,Springer,2,No,Mon,Yes,Good,4.92,6.0600000000000005,50.0,15.001299999999999,0,3,3,Dingin
213,2011-01-10,Springer,3,No,Mon,Yes,Good,4.92,6.0600000000000005,50.0,15.001299999999999,0,1,1,Dingin
214,2011-01-10,Springer,4,No,Mon,Yes,Good,4.1000000000000005,6.0600000000000005,54.0,8.9981,1,2,3,Dingin
215,2011-01-10,Springer,5,No,Mon,Yes,Good,4.1000000000000005,5.305,54.0,16.997899999999998,0,3,3,Dingin
216,2011-01-10,Springer,6,No,Mon,Yes,Good,4.92,6.0600000000000005,50.0,19.0012,0,31,31,Dingin
217,2011-01-10,Springer,7,No,Mon,Yes,Good,4.92,6.0600000000000005,50.0,15.001299999999999,2,75,77,Dingin
218,2011-01-10,Springer,8,No,Mon,Yes,Not Good,4.92,6.0600000000000005,50.0,19.0012,4,184,188,Dingin
219,2011-01-10,Springer,9,No,Mon,Yes,Not Good,5.74,6.0600000000000005,50.0,16.997899999999998,2,92,94,Dingin
220,2011-01-10,Springer,10,No,Mon,Yes,Not Good,5.74,6.0600000000000005,50.0,19.999499999999998,0,31,31,Dingin
221,2011-01-10,Springer,11,No,Mon,Yes,Not Good,6.5600000000000005,6.819999999999999,47.0,19.0012,2,28,30,Dingin
222,2011-01-10,Springer,12,No,Mon,Yes,Not Good,8.200000000000001,9.09,40.0,19.0012,5,47,52,Dingin
223,2011-01-10,Springer,13,No,Mon,Yes,Not Good,8.200000000000001,9.09,40.0,19.0012,4,50,54,Dingin
224,2011-01-10,Springer,14,No,Mon,Yes,Not Good,8.200000000000001,9.85,40.0,15.001299999999999,0,47,47,Dingin
225,2011-01-10,Springer,15,No,Mon,Yes,Not Good,8.200000000000001,9.85,40.0,15.001299999999999,2,43,45,Dingin
226,2011-01-10,Springer,16,No,Mon,Yes,Good,8.200000000000001,10.605,40.0,8.9981,4,70,74,Dingin
227,2011-01-10,Springer,17,No,Mon,Yes,Good,8.200000000000001,11.365,40.0,7.0015,4,174,178,Dingin
228,2011-01-10,Springer,18,No,Mon,Yes,Good,8.200000000000001,9.85,40.0,15.001299999999999,1,154,155,Dingin
